# numer_sta,date,pmer,tend,cod_tend,dd,ff,t,td,u,vv,ww,w1,w2,n,nbas,hbas,cl,cm,ch,pres,niv_bar,geop,tend24,tn12,tn24,tx12,tx24,tminsol,sw,tw,raf10,rafper,per,etat_sol,ht_neige,ssfrai,perssfrai,rr1,rr3,rr6,rr12,rr24,phenspe1,phenspe2,phenspe3,phenspe4,nnuage1,ctype1,hnuage1,nnuage2,ctype2,hnuage2,nnuage3,ctype3,hnuage3,nnuage4,ctype4,hnuage4
7005,2022-03-01 00:00:00,102680,-50.0,6,130,3.0,279.15,271.95,60,20000,0,nan,nan,nan,nan,nan,nan,nan,nan,101780,nan,nan,-100.0,nan,nan,nan,nan,276.55,nan,nan,5.8,6.1,-10.0,0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7015,2022-03-01 00:00:00,102730,-70.0,7,140,2.4,276.35,272.15,74,11800,0,nan,nan,90,7,6000,nan,nan,nan,102140,nan,nan,-150.0,nan,nan,nan,nan,274.85,nan,nan,3.3,3.8,-10.0,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,7,nan,6000,nan,nan,nan,nan,nan,nan,nan,nan,nan
7020,2022-03-01 00:00:00,102390,-20.0,8,180,8.4,282.85,282.05,95,8000,60,6,2,100,8,800,37,nan,nan,102280,nan,nan,80,nan,nan,nan,nan,nan,nan,nan,12.4,12.4,-10.0,nan,nan,nan,nan,-0.1,-0.1,1.4,2.4,2.4,nan,nan,nan,nan,8,7,600,nan,nan,nan,nan,nan,nan,nan,nan,nan
7027,2022-03-01 00:00:00,102580,-30.0,8,130,2.5,281.65,280.55,93,9430,0,nan,nan,100,7,1250,nan,nan,nan,101750,nan,nan,30,nan,nan,nan,nan,280.65,nan,nan,3.1,4.1,-10.0,1,0.0,nan,nan,1.4,2.2,2.2,2.2,2.2,nan,nan,nan,nan,7,nan,1230,7,nan,1470,8,nan,1980,nan,8,nan
7037,2022-03-01 00:00:00,102630,-50.0,8,140,3.8,279.55,271.15,55,29510,0,nan,nan,90,7,4200,nan,nan,nan,100750,nan,nan,-30.0,nan,nan,nan,nan,276.25,nan,nan,5.3,5.3,-10.0,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,6,nan,4200,7,nan,6600,nan,nan,nan,nan,nan,nan
7072,2022-03-01 00:00:00,102890,10,1,0,0.0,271.55,270.15,90,19060,0,nan,nan,90,7,6900,nan,nan,nan,101670,nan,nan,-110.0,nan,nan,nan,nan,268.85,nan,nan,0.0,1.1,-10.0,0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,7,nan,6900,nan,nan,nan,nan,nan,nan,nan,nan,nan
7110,2022-03-01 00:00:00,102300,-20.0,8,190,4.8,284.05,284.05,100,260,45,nan,nan,101,9,30,nan,nan,nan,101110,nan,nan,30,nan,nan,nan,nan,283.05,nan,nan,6.7,8.3,-10.0,2,0.0,nan,nan,-0.1,1.4,6.1,7.5,7.5,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7117,2022-03-01 00:00:00,102340,40,1,170,4.7,283.95,282.35,90,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,101630,nan,nan,40,nan,nan,nan,nan,nan,nan,nan,8.1,10.4,-10.0,nan,nan,nan,nan,0.0,0.0,1.6,2.8,2.8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7130,2022-03-01 00:00:00,102560,-50.0,8,140,1.8,282.25,280.85,91,11680,60,nan,nan,100,8,1750,nan,nan,nan,102100,nan,nan,60,nan,nan,nan,nan,281.75,nan,nan,2.3,4.5,-10.0,2,0.0,nan,nan,0.4,0.6,0.6,0.6,0.6,nan,nan,nan,nan,1,nan,1740,5,nan,2280,8,nan,2820,nan,8,nan
7139,2022-03-01 00:00:00,102700,-40.0,8,0,0.0,279.05,276.35,83,19030,0,nan,nan,100,8,1750,nan,nan,nan,100900,nan,nan,30,nan,nan,nan,nan,278.55,nan,nan,0.9,1.0,-10.0,0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,8,nan,1800,nan,nan,nan,nan,nan,nan,nan,nan,nan
7149,2022-03-01 00:00:00,102800,-60.0,8,260,1.1,276.15,272.65,78,15000,3,2,2,90,0,6900,30,20,12,101670,nan,nan,-40.0,nan,nan,nan,nan,nan,nan,nan,1.4,2.6,-10.0,0,0.0,0.0,-60.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,7,0,6900,nan,nan,nan,nan,nan,nan,nan,nan,nan
7168,2022-03-01 00:00:00,102850,-50.0,6,100,0.6,271.95,269.55,84,10890,0,nan,nan,nan,0,nan,nan,nan,nan,101340,nan,nan,-90.0,nan,nan,nan,nan,268.05,nan,nan,1.0,1.2,-10.0,0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7181,2022-03-01 00:00:00,103010,0,5,300,1.5,273.05,268.65,69,18000,0,nan,nan,nan,nan,nan,nan,nan,nan,98620,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.6,-10.0,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7190,2022-03-01 00:00:00,103010,-40.0,6,330,0.8,271.75,269.35,84,11270,0,nan,nan,nan,0,nan,nan,nan,nan,101080,nan,nan,-170.0,nan,nan,nan,nan,270.05,nan,nan,1.2,1.6,-10.0,0,0.0,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7207,2022-03-01 00:00:00,102530,-50.0,8,190,5.2,284.15,283.65,97,nan,nan,2,nan,nan,nan,nan,nan,nan,nan,102000,nan,nan,60,nan,nan,nan,nan,nan,nan,nan,7.3,7.3,-10.0,nan,nan,nan,nan,0.0,0.2,0.2,0.2,0.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7222,2022-03-01 00:00:00,102580,-60.0,8,140,2.8,282.35,280.25,87,15810,0,nan,nan,100,8,1750,nan,nan,nan,102260,nan,nan,40,nan,nan,nan,nan,281.35,nan,nan,3.9,3.9,-10.0,0,0.0,nan,nan,-0.1,-0.1,-0.1,-0.1,0.2,nan,nan,nan,nan,1,nan,1740,8,nan,3240,nan,nan,nan,nan,nan,nan
7240,2022-03-01 00:00:00,102740,-30.0,8,110,1.4,278.45,273.25,69,13910,0,nan,nan,nan,5,6360,nan,nan,nan,101340,nan,nan,80,nan,nan,nan,nan,279.35,nan,nan,1.7,2.1,-10.0,4,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,3,nan,6360,5,nan,7080,nan,nan,nan,nan,nan,nan
7255,2022-03-01 00:00:00,102810,-20.0,8,0,0.0,274.85,271.55,79,14540,0,nan,nan,nan,nan,nan,nan,nan,nan,100720,nan,nan,50,nan,nan,nan,nan,272.65,nan,nan,1.2,1.7,-10.0,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7280,2022-03-01 00:00:00,102830,-10.0,7,320,3.8,274.05,269.35,71,19660,0,nan,nan,nan,0,nan,nan,nan,nan,100060,nan,nan,-40.0,nan,nan,nan,nan,273.25,nan,nan,4.7,4.8,-10.0,0,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7299,2022-03-01 00:00:00,102980,-60.0,8,130,0.9,271.15,269.15,86,9500,0,nan,nan,nan,0,nan,nan,nan,nan,99520,nan,nan,-150.0,nan,nan,nan,nan,271.05,nan,nan,1.4,1.5,-10.0,0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7314,2022-03-01 00:00:00,102670,-10.0,8,0,0.0,282.95,282.05,94,12000,3,2,nan,100,8,1250,35,nan,nan,102390,nan,nan,90,nan,nan,nan,nan,nan,nan,nan,0.6,2.1,-10.0,1,nan,nan,nan,0.0,0.0,0.2,0.2,0.4,nan,nan,nan,nan,8,6,1000,nan,nan,nan,nan,nan,nan,nan,nan,nan
7335,2022-03-01 00:00:00,102750,-40.0,8,200,0.9,276.85,273.55,79,25470,0,nan,nan,75,6,6720,nan,nan,nan,101250,nan,nan,120,nan,nan,nan,nan,276.45,nan,nan,1.2,1.2,-10.0,0,0.0,nan,nan,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,6,nan,6720,nan,nan,nan,nan,nan,nan,nan,nan,nan
7434,2022-03-01 00:00:00,102720,-10.0,8,70,1.2,280.15,272.65,59,45380,0,nan,nan,nan,0,nan,nan,nan,nan,97830,nan,nan,120,nan,nan,nan,nan,277.95,nan,nan,1.6,2.4,-10.0,0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7460,2022-03-01 00:00:00,102890,10,2,90,0.9,272.55,269.35,79,21290,0,nan,nan,nan,0,nan,nan,nan,nan,98730,nan,nan,80,nan,nan,nan,nan,270.45,nan,nan,1.6,2.3,-10.0,0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7471,2022-03-01 00:00:00,nan,0,0,320,1.8,271.75,268.95,81,20000,0,nan,nan,nan,0,nan,nan,nan,nan,92820,92500,861,0,nan,nan,nan,nan,271.35,nan,nan,2.9,3.2,-10.0,0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7481,2022-03-01 00:00:00,102680,-10.0,5,330,3.5,277.55,273.15,73,25000,2,0,0,0,0,nan,30,20,10,99710,nan,nan,-120.0,nan,nan,nan,nan,nan,nan,nan,4.1,4.3,-10.0,0,0.0,0.0,-60.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7510,2022-03-01 00:00:00,102700,-20.0,8,0,0.0,278.75,277.25,90,10620,0,nan,nan,nan,0,nan,nan,nan,nan,102100,nan,nan,90,nan,nan,nan,nan,276.75,nan,nan,0.7,0.7,-10.0,0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7535,2022-03-01 00:00:00,102730,0,0,310,0.7,277.95,274.45,78,20000,0,nan,nan,nan,0,nan,nan,nan,nan,99510,nan,nan,90,nan,nan,nan,nan,275.95,nan,nan,1.5,3.5,-10.0,0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7558,2022-03-01 00:00:00,102580,-10.0,0,350,4.0,277.85,275.25,83,20000,0,nan,nan,nan,nan,nan,nan,nan,nan,94070,nan,nan,-150.0,nan,nan,nan,nan,275.95,nan,nan,5.0,5.0,-10.0,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7577,2022-03-01 00:00:00,102420,-10.0,5,30,5.0,281.95,274.65,60,20000,0,nan,nan,nan,nan,nan,nan,nan,nan,101510,nan,nan,-410.0,nan,nan,nan,nan,279.05,nan,nan,10.6,10.6,-10.0,0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7591,2022-03-01 00:00:00,nan,0,5,30,3.7,275.25,264.25,44,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,92050,nan,nan,-420.0,nan,271.25,nan,284.55,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7607,2022-03-01 00:00:00,102700,-10.0,6,70,1.6,276.65,275.45,92,33730,0,nan,nan,nan,0,nan,nan,nan,nan,101960,nan,nan,140,nan,nan,nan,nan,278.65,nan,nan,1.9,2.3,-10.0,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7621,2022-03-01 00:00:00,102780,-60.0,6,160,2.1,278.05,273.65,73,31150,0,nan,nan,nan,0,nan,nan,nan,nan,98320,nan,nan,130,nan,nan,nan,nan,278.45,nan,nan,3.0,5.6,-10.0,0,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7630,2022-03-01 00:00:00,102720,10,2,190,2.2,278.75,276.25,84,13050,0,nan,nan,nan,0,nan,nan,nan,nan,100860,nan,nan,70,nan,nan,nan,nan,279.35,nan,nan,3.1,3.4,-10.0,0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7643,2022-03-01 00:00:00,102380,-70.0,6,280,1.2,277.65,276.45,92,16770,0,nan,nan,nan,0,nan,nan,nan,nan,102280,nan,nan,-420.0,nan,nan,nan,nan,275.25,nan,nan,1.8,2.2,-10.0,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7650,2022-03-01 00:00:00,102310,-70.0,5,140,1.3,279.25,277.85,91,21110,0,nan,nan,nan,1,4020,nan,nan,nan,101910,nan,nan,-520.0,nan,nan,nan,nan,277.05,nan,nan,2.2,3.2,-10.0,1,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,1,nan,4020,nan,nan,nan,nan,nan,nan,nan,nan,nan
7661,2022-03-01 00:00:00,nan,nan,nan,320,4.9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6.3,8.0,-10.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7690,2022-03-01 00:00:00,102400,170,3,330,3.7,280.65,273.35,60,40000,2,0,0,0,0,nan,30,20,10,102080,nan,nan,-430.0,nan,nan,nan,nan,278.45,nan,nan,5.8,6.2,-10.0,0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7747,2022-03-01 00:00:00,102470,-50.0,6,270,3.9,283.65,276.25,60,60000,0,nan,nan,nan,0,nan,nan,nan,nan,101930,nan,nan,-230.0,nan,nan,nan,nan,276.45,nan,nan,5.3,8.5,-10.0,0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7761,2022-03-01 00:00:00,102540,40,3,30,4.4,276.45,272.85,77,33470,0,nan,nan,nan,0,nan,nan,nan,nan,102430,nan,nan,-80.0,nan,nan,nan,nan,276.05,nan,nan,6.3,6.3,-10.0,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7790,2022-03-01 00:00:00,102550,100,2,220,2.4,277.05,272.85,74,49360,0,nan,nan,nan,0,nan,nan,nan,nan,102400,nan,nan,-130.0,nan,nan,nan,nan,274.75,nan,nan,3.3,3.6,-10.0,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
61968,2022-03-01 00:00:00,100800,180,7,290,2.1,300.85,297.65,83,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100750,nan,nan,-100.0,nan,297.75,nan,301.35,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,4.7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
61972,2022-03-01 00:00:00,100880,130,6,160,6.7,299.35,295.65,80,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100810,nan,nan,-180.0,nan,298.75,nan,303.85,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
61976,2022-03-01 00:00:00,100860,120,6,nan,nan,298.05,295.75,87,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,100770,nan,nan,-60.0,nan,297.55,nan,303.95,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,3.0,3.0,3.4,5.4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
61980,2022-03-01 00:00:00,100940,-110.0,6,120,3.3,297.95,293.65,77,60000,0,nan,nan,nan,0,nan,nan,nan,nan,100790,nan,nan,-20.0,nan,nan,nan,nan,nan,nan,nan,4.3,5.7,-10.0,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
61996,2022-03-01 00:00:00,102760,80,7,290,3.2,285.55,280.45,71,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,102410,nan,nan,-120.0,nan,282.65,nan,292.45,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
61997,2022-03-01 00:00:00,101100,80,3,180,11.0,277.75,277.75,100,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,99310,nan,nan,-390.0,nan,277.75,nan,288.35,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
61998,2022-03-01 00:00:00,99580,-50.0,6,260,5.1,284.15,281.85,86,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,99220,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10.8,-10.0,nan,nan,nan,nan,2.0,nan,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
67005,2022-03-01 00:00:00,100850,-160.0,6,340,1.6,299.45,297.65,90,20000,0,nan,nan,nan,3,5880,nan,nan,nan,100770,nan,nan,-70.0,nan,nan,nan,nan,nan,nan,nan,2.2,3.3,-10.0,nan,nan,nan,nan,0.0,0.0,0.0,0.2,1.2,nan,nan,nan,nan,3,nan,5880,nan,nan,nan,nan,nan,nan,nan,nan,nan
71805,2022-03-01 00:00:00,100160,730,1,310,15.0,265.55,261.55,73,2490,10,nan,nan,100,8,450,nan,nan,nan,100070,nan,nan,40,nan,nan,nan,nan,273.05,nan,nan,22.4,23.4,-10.0,nan,nan,nan,nan,-0.1,-0.1,-0.1,-0.1,4.0,nan,nan,nan,nan,1,nan,420,7,nan,1020,8,nan,1320,nan,nan,nan
78894,2022-03-01 00:00:00,101620,150,2,60,3.4,298.65,294.35,77,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,101100,nan,nan,20,nan,297.15,nan,304.05,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
78897,2022-03-01 00:00:00,101570,160,3,90,3.5,298.35,294.65,80,24710,nan,nan,nan,nan,nan,nan,nan,nan,nan,101480,nan,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
78922,2022-03-01 00:00:00,101550,130,3,100,7.5,298.95,294.35,76,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,101100,nan,nan,40,nan,297.35,nan,300.85,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.2,0.2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
78925,2022-03-01 00:00:00,101500,110,3,90,4.1,297.75,294.85,84,41910,0,nan,nan,90,1,800,nan,nan,nan,101410,nan,nan,40,302.25,nan,302.25,nan,nan,nan,nan,6.7,8.1,-10.0,nan,nan,nan,nan,-0.1,1.2,2.4,3.0,6.0,nan,nan,nan,nan,1,nan,690,7,nan,1740,nan,nan,nan,nan,nan,nan
81401,2022-03-01 00:00:00,101130,180,3,50,1.0,298.25,297.25,94,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,101070,nan,nan,50,nan,296.15,nan,304.95,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,1.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
81405,2022-03-01 00:00:00,101180,180,2,60,1.3,297.05,296.35,96,1400,61,nan,nan,100,8,150,nan,nan,nan,101090,nan,nan,80,301.15,nan,301.15,nan,298.85,nan,nan,2.7,3.9,-10.0,nan,nan,nan,nan,12.9,18.4,26.8,34.1,56.6,nan,nan,nan,nan,5,nan,180,8,nan,600,nan,9,nan,nan,nan,nan
81408,2022-03-01 00:00:00,101140,170,3,250,0.6,297.05,296.75,98,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,101060,nan,nan,70,nan,296.45,nan,302.35,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.6,21.9,22.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
81415,2022-03-01 00:00:00,101150,140,1,130,0.9,297.25,296.75,97,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,99930,nan,nan,30,nan,296.45,nan,305.95,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4,5.4,7.8,7.8,8.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
89642,2022-03-01 00:00:00,99720,50,1,190,1.5,266.35,255.55,38,50000,2,1,1,90,0,8000,30,20,11,99170,nan,nan,nan,261.25,nan,266.35,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7,0,6000,nan,nan,nan,nan,nan,nan,nan,nan,nan
7005,2022-03-01 03:00:00,102660,-20.0,7,130,2.8,278.25,273.25,70,19730,61,nan,nan,nan,nan,nan,nan,nan,nan,101760,nan,nan,-90.0,nan,nan,nan,nan,276.55,nan,nan,4.6,4.6,-10.0,nan,0.0,nan,nan,-0.1,-0.1,-0.1,-0.1,-0.1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7015,2022-03-01 03:00:00,102720,-10.0,8,140,1.2,276.25,272.75,78,10130,0,nan,nan,100,1,1250,nan,nan,nan,102130,nan,nan,-170.0,nan,nan,nan,nan,274.65,nan,nan,2.0,3.3,-10.0,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,1,nan,1410,6,nan,1620,8,nan,4500,nan,nan,nan
7020,2022-03-01 03:00:00,102390,0,5,180,6.2,282.65,282.05,96,7000,60,6,2,100,8,800,37,nan,nan,102280,nan,nan,20,nan,nan,nan,nan,nan,nan,nan,8.7,9.9,-10.0,nan,nan,nan,nan,0.2,0.4,0.4,2.8,2.8,nan,nan,nan,nan,8,7,600,nan,nan,nan,nan,nan,nan,nan,nan,nan
7027,2022-03-01 03:00:00,102530,-50.0,7,130,2.9,280.95,280.05,94,11980,0,nan,nan,100,8,1250,nan,nan,nan,101700,nan,nan,-50.0,nan,nan,nan,nan,280.65,nan,nan,3.5,3.8,-10.0,1,0.0,nan,nan,0.0,0.2,2.4,2.4,2.4,nan,nan,nan,nan,8,nan,1020,nan,nan,nan,nan,nan,nan,nan,nan,nan
7037,2022-03-01 03:00:00,102580,-60.0,8,120,3.1,278.15,273.85,74,18700,0,nan,nan,100,5,1250,nan,nan,nan,100690,nan,nan,-90.0,nan,nan,nan,nan,276.25,nan,nan,3.7,3.7,-10.0,nan,0.0,nan,nan,-0.1,-0.1,-0.1,-0.1,-0.1,nan,nan,nan,nan,5,nan,1170,7,nan,1680,7,nan,2160,nan,nan,nan
7072,2022-03-01 03:00:00,102840,-50.0,5,80,1.4,271.55,269.35,85,18810,0,nan,nan,nan,2,6960,nan,nan,nan,101620,nan,nan,-180.0,nan,nan,nan,nan,268.75,nan,nan,1.8,3.3,-10.0,0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,2,nan,6960,nan,nan,nan,nan,nan,nan,nan,nan,nan
7110,2022-03-01 03:00:00,102260,-40.0,8,360,1.2,283.75,283.75,100,190,45,nan,nan,101,9,30,nan,nan,nan,101070,nan,nan,-40.0,nan,nan,nan,nan,283.05,nan,nan,1.7,2.2,-10.0,2,0.0,nan,nan,0.0,0.0,1.4,7.1,7.5,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7117,2022-03-01 03:00:00,102300,-40.0,8,150,2.1,283.75,282.85,94,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,101590,nan,nan,-50.0,nan,nan,nan,nan,nan,nan,nan,4.3,4.5,-10.0,nan,nan,nan,nan,0.2,0.2,0.2,2.8,3.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7130,2022-03-01 03:00:00,102480,-80.0,8,150,2.9,282.25,280.85,91,15320,0,nan,nan,100,8,250,nan,nan,nan,102020,nan,nan,-100.0,nan,nan,nan,nan,281.65,nan,nan,4.4,4.4,-10.0,2,0.0,nan,nan,-0.1,0.2,0.8,0.8,0.8,nan,nan,nan,nan,2,nan,210,3,nan,1110,8,nan,1350,nan,nan,nan
7139,2022-03-01 03:00:00,102620,-70.0,8,0,0.0,279.75,277.05,83,19120,0,nan,nan,100,5,1250,nan,nan,nan,100830,nan,nan,-70.0,nan,nan,nan,nan,278.95,nan,nan,0.8,1.0,-10.0,0,nan,nan,nan,-0.1,-0.1,-0.1,-0.1,-0.1,nan,nan,nan,nan,5,nan,1380,7,nan,2760,8,nan,3600,nan,nan,nan
7149,2022-03-01 03:00:00,102770,-40.0,6,140,0.8,274.95,272.65,85,12000,2,2,2,90,0,5700,30,20,12,101630,nan,nan,-80.0,nan,nan,nan,nan,nan,nan,nan,1.5,1.9,-10.0,0,0.0,0.0,-30.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,7,0,5700,nan,nan,nan,nan,nan,nan,nan,nan,nan
